date,id,ref
2025-08-07,8928,27.95
2025-08-07,9914,113
2025-08-07,9951,57.28
2025-08-08,1210,58.27
2025-08-08,2948,39.95
2025-08-08,3230,50.75
2025-08-08,5603,20.75
2025-08-08,9958,188.83
2025-08-11,1795,215.72
2025-08-11,2729,188.91
2025-08-11,3033,33.31
2025-08-11,4905,64
2025-08-11,6446,508.9
2025-08-12,1563,49.13
2025-08-12,2885,32.23
2025-08-12,2887,15.65
2025-08-12,3032,111.77
2025-08-12,3209,33.21
2025-08-12,3379,74.1
2025-08-12,6122,46.93
2025-08-13,2748,47.75
2025-08-13,2812,21.44
2025-08-13,2880,27.82
2025-08-13,4162,72
2025-08-13,4432,18.1
2025-08-13,5880,24.51
2025-08-13,6464,77.78
2025-08-13,6574,71.5
2025-08-13,6805,1042
2025-08-13,8437,18.08
2025-08-14,1580,138.84
2025-08-14,2476,85.2
2025-08-14,2754,88.3
2025-08-14,3008,2392
2025-08-14,3050,13.8
2025-08-14,3162,49.8
2025-08-14,3232,25.15
2025-08-14,4148,43.23
2025-08-14,5203,93.8
2025-08-14,5489,41.83
2025-08-14,6156,24.15
2025-08-14,6432,26.75
2025-08-14,8032,47.9
2025-08-14,9960,23.35
2025-08-15,1477,263
2025-08-15,1615,49.8
2025-08-15,3535,54.6
2025-08-15,5222,125.9
2025-08-15,6117,93.62
2025-08-15,8043,26.8
2025-08-15,9933,28.4
2025-08-18,1618,46.4
2025-08-18,6188,100
2025-08-18,6282,28.99
2025-08-18,6509,33.08
2025-08-18,6799,90.31
2025-08-18,7556,179.86
2025-08-19,1474,12.55
2025-08-19,1537,134.5
2025-08-19,2301,132
2025-08-19,3017,1135.06
2025-08-19,3147,193.75
2025-08-19,4907,38.9
2025-08-19,6796,72.81
2025-08-20,1737,32.15
2025-08-20,2070,43.3
2025-08-20,3226,46.5
2025-08-20,4130,18.43
2025-08-20,4161,27.48
2025-08-20,4760,140.48
2025-08-20,6666,50
2025-08-21,1231,134.45
2025-08-21,1442,60.2
2025-08-21,1465,12.9
2025-08-21,1597,84.3
2025-08-21,1714,7.85
2025-08-21,2201,32.75
2025-08-21,2472,78.2
2025-08-21,2890,24.11
2025-08-21,3023,227.75
2025-08-21,3141,49.39
2025-08-21,3284,21.47
2025-08-21,3373,18.45
2025-08-21,4430,19.35
